k,group,value,n,events,prevalence,selection_rate,precision_at_k,precision_ci_low,precision_ci_high,recall_at_k,recall_ci_low,recall_ci_high,fnr_at_k,fnr_ci_low,fnr_ci_high,roc_auc,pr_auc
0.1,female_binary,0.0,5079,566,0.11143925969679071,0.08092144122858831,0.24574209245742093,0.2029879773691655,0.2871745497938815,0.1784452296819788,0.1448504112661634,0.2063673950491154,0.8215547703180213,0.7936326049508846,0.8551495887338366,0.6554723339484911,0.19006116977034698
0.1,female_binary,1.0,4174,538,0.12889314805941543,0.12338284619070436,0.2543689320388349,0.21970435878290087,0.29288500150219465,0.24349442379182157,0.21057744053384994,0.27810921717171716,0.7565055762081785,0.7218907828282829,0.78942255946615,0.6426168406803506,0.22039486623500004
0.1,has_children_any,0.0,4766,617,0.12945866554762903,0.12043642467477969,0.24041811846689895,0.20772883520393773,0.2737722106412547,0.22366288492706646,0.19317096298377467,0.256496559588244,0.7763371150729336,0.743503440411756,0.8068290370162253,0.641221664785758,0.20665144041242117
0.1,has_children_any,1.0,4487,487,0.10853577000222867,0.07844885223980388,0.26704545454545453,0.21839080459770116,0.3066227209420106,0.19301848049281314,0.16195850622406638,0.22459059416334243,0.8069815195071869,0.7754094058366575,0.8380414937759336,0.6577366529774128,0.20258202236381706
0.1,income_group_traincut,high,2183,153,0.0700870361887311,0.007329363261566651,0.3125,0.07142857142857142,0.5421328671328669,0.032679738562091505,0.006429900744416873,0.05802521008403357,0.9673202614379085,0.9419747899159664,0.9935700992555832,0.653213239318716,0.13944089652318992
0.1,income_group_traincut,low,3443,548,0.1591635201858844,0.200697066511763,0.25470332850940663,0.22012850293153136,0.2843030680201733,0.32116788321167883,0.2819153362437156,0.357281746031746,0.6788321167883211,0.642718253968254,0.7180846637562843,0.6229904945602158,0.2380481090541396
0.1,income_group_traincut,middle,3627,403,0.1111111111111111,0.060380479735318446,0.2328767123287671,0.1765909090909091,0.2886197468050158,0.12655086848635236,0.09466908675338644,0.15536649134981798,0.8734491315136477,0.844633508650182,0.9053309132466135,0.5979690934615692,0.17101144187158043
0.1,education_s,1.0,113,25,0.22123893805309736,0.21238938053097345,0.375,0.19222222222222224,0.568478260869565,0.36,0.18593073593073595,0.5555555555555556,0.64,0.4444444444444444,0.8140692640692638,0.625909090909091,0.3986214687975371
0.1,education_s,2.0,2060,275,0.13349514563106796,0.13883495145631067,0.22727272727272727,0.17722501322051826,0.2743903207114604,0.23636363636363636,0.18288775367062565,0.2890709642470206,0.7636363636363637,0.7109290357529794,0.8171122463293743,0.6073705118411,0.18902487985689956
0.1,education_s,3.0,2361,320,0.1355357899195256,0.156289707750953,0.25474254742547425,0.20859654234654235,0.29825252554701964,0.29375,0.2409429798401527,0.33639283723522856,0.70625,0.6636071627647715,0.7590570201598473,0.6389453699167074,0.2199865964542544
0.1,education_s,4.0,2745,303,0.11038251366120219,0.0692167577413479,0.23684210526315788,0.18107318213701193,0.3074881822088526,0.1485148514851485,0.11155777719587012,0.18932864470247643,0.8514851485148515,0.8106713552975235,0.8884422228041298,0.6489263791243989,0.19892939776760066
0.1,education_s,5.0,1974,181,0.0916919959473151,0.028875379939209727,0.3333333333333333,0.21879084967320261,0.4596805736636244,0.10497237569060773,0.06411679700782047,0.1521878174200101,0.8950276243093923,0.8478121825799898,0.9358832029921795,0.6774195536355317,0.20356834310310062
0.1,gender_children,female_children,1961,241,0.12289648138704742,0.11422743498215196,0.23214285714285715,0.1743769066008957,0.2799956374308434,0.2157676348547718,0.16525744232535525,0.26666666666666666,0.7842323651452282,0.7333333333333334,0.8347425576746447,0.6348294412814822,0.20845241627207844
