desired_wfh_days,planned_wfh_days,predicted_dissatisfaction,nearest_quarter_desired,nearest_quarter_planned,nearest_cell_n
2.75,2.75,0.13606336092249216,2.75,2.75,0
2.75,2.833333333333333,0.1345355238210137,2.75,2.75,0
2.75,2.9166666666666665,0.13302354679948897,2.75,3.0,0
2.75,3.0,0.1315274298579181,2.75,3.0,0
2.75,3.083333333333333,0.13004717299630103,2.75,3.0,0
2.75,3.1666666666666665,0.12858277621463773,2.75,3.25,0
2.75,3.25,0.12713423951292827,2.75,3.25,0
2.75,3.333333333333333,0.12570156289117257,2.75,3.25,0
2.75,3.4166666666666665,0.12428474634937073,2.75,3.5,0
2.75,3.5,0.12288378988752266,2.75,3.5,0
2.75,3.583333333333333,0.12149869350562845,2.75,3.5,0
2.75,3.6666666666666665,0.12012945720368803,2.75,3.75,0
2.75,3.75,0.11877608098170142,2.75,3.75,0
2.75,3.833333333333333,0.11743856483966861,2.75,3.75,0
2.75,3.9166666666666665,0.1161169087775896,2.75,4.0,0
2.75,4.0,0.11481111279546444,2.75,4.0,0
2.75,4.083333333333333,0.11352117689329305,2.75,4.0,0
2.75,4.166666666666666,0.11224710107107547,2.75,4.25,0
2.75,4.25,0.11098888532881174,2.75,4.25,0
2.75,4.333333333333333,0.10974652966650174,2.75,4.25,0
2.75,4.416666666666666,0.10852003408414562,2.75,4.5,0
2.75,4.5,0.10730939858174335,2.75,4.5,0
2.75,4.583333333333333,0.10611462315929482,2.75,4.5,0
2.75,4.666666666666666,0.10493570781680009,2.75,4.75,0
2.75,4.75,0.10377265255425921,2.75,4.75,0
2.75,4.833333333333333,0.10262545737167211,2.75,4.75,0
2.75,4.916666666666666,0.10149412226903881,2.75,5.0,0
2.75,5.0,0.10037864724635934,2.75,5.0,0
2.833333333333333,0.0,0.19839636420062193,2.75,0.0,0
2.833333333333333,0.08333333333333333,0.1962799259112205,2.75,0.0,0
2.833333333333333,0.16666666666666666,0.19417934770177292,2.75,0.25,0
2.833333333333333,0.25,0.19209462957227907,2.75,0.25,0
2.833333333333333,0.3333333333333333,0.1900257715227391,2.75,0.25,0
2.833333333333333,0.41666666666666663,0.18797277355315292,2.75,0.5,0
2.833333333333333,0.5,0.18593563566352056,2.75,0.5,0
2.833333333333333,0.5833333333333333,0.18391435785384197,2.75,0.5,0
2.833333333333333,0.6666666666666666,0.18190894012411724,2.75,0.75,0
2.833333333333333,0.75,0.1799193824743463,2.75,0.75,0
2.833333333333333,0.8333333333333333,0.17794568490452917,2.75,0.75,0
2.833333333333333,0.9166666666666666,0.1759878474146658,2.75,1.0,0
2.833333333333333,1.0,0.1740458700047563,2.75,1.0,0
2.833333333333333,1.0833333333333333,0.17211975267480062,2.75,1.0,0
2.833333333333333,1.1666666666666665,0.17020949542479874,2.75,1.25,0
2.833333333333333,1.25,0.1683150982547506,2.75,1.25,0
2.833333333333333,1.3333333333333333,0.16643656116465633,2.75,1.25,0
2.833333333333333,1.4166666666666665,0.16457388415451588,2.75,1.5,0
2.833333333333333,1.5,0.16272706722432922,2.75,1.5,0
2.833333333333333,1.5833333333333333,0.16089611037409635,2.75,1.5,0
2.833333333333333,1.6666666666666665,0.15908101360381732,2.75,1.75,0
2.833333333333333,1.75,0.15728177691349207,2.75,1.75,0
2.833333333333333,1.8333333333333333,0.15549840030312062,2.75,1.75,0
2.833333333333333,1.9166666666666665,0.15373088377270303,2.75,2.0,0
2.833333333333333,2.0,0.15197922732223923,2.75,2.0,0
2.833333333333333,2.083333333333333,0.15024343095172923,2.75,2.0,0
2.833333333333333,2.1666666666666665,0.148523494661173,2.75,2.25,0
2.833333333333333,2.25,0.14681941845057062,2.75,2.25,0
2.833333333333333,2.333333333333333,0.1451312023199221,2.75,2.25,0
2.833333333333333,2.4166666666666665,0.14345884626922734,2.75,2.5,0
2.833333333333333,2.5,0.14180235029848634,2.75,2.5,0
2.833333333333333,2.583333333333333,0.14016171440769923,2.75,2.5,0
2.833333333333333,2.6666666666666665,0.1385369385968659,2.75,2.75,0
2.833333333333333,2.75,0.13692802286598638,2.75,2.75,0
2.833333333333333,2.833333333333333,0.1353349672150606,2.75,2.75,0
2.833333333333333,2.9166666666666665,0.13375777164408872,2.75,3.0,0
2.833333333333333,3.0,0.13219643615307067,2.75,3.0,0
2.833333333333333,3.083333333333333,0.13065096074200638,2.75,3.0,0
2.833333333333333,3.1666666666666665,0.12912134541089587,2.75,3.25,0
2.833333333333333,3.25,0.1276075901597392,2.75,3.25,0
2.833333333333333,3.333333333333333,0.12610969498853633,2.75,3.25,0
2.833333333333333,3.4166666666666665,0.12462765989728725,2.75,3.5,0
2.833333333333333,3.5,0.12316148488599196,2.75,3.5,0
2.833333333333333,3.583333333333333,0.12171116995465059,2.75,3.5,0
2.833333333333333,3.6666666666666665,0.12027671510326296,2.75,3.75,0
2.833333333333333,3.75,0.1188581203318291,2.75,3.75,0
2.833333333333333,3.833333333333333,0.11745538564034913,2.75,3.75,0
2.833333333333333,3.9166666666666665,0.1160685110288229,2.75,4.0,0
2.833333333333333,4.0,0.11469749649725056,2.75,4.0,0
2.833333333333333,4.083333333333333,0.11334234204563193,2.75,4.0,0
2.833333333333333,4.166666666666666,0.11200304767396717,2.75,4.25,0
2.833333333333333,4.25,0.11067961338225624,2.75,4.25,0
2.833333333333333,4.333333333333333,0.10937203917049906,2.75,4.25,0
2.833333333333333,4.416666666666666,0.1080803250386957,2.75,4.5,0
2.833333333333333,4.5,0.10680447098684617,2.75,4.5,0
2.833333333333333,4.583333333333333,0.10554447701495047,2.75,4.5,0
2.833333333333333,4.666666666666666,0.10430034312300855,2.75,4.75,0
2.833333333333333,4.75,0.10307206931102043,2.75,4.75,0
2.833333333333333,4.833333333333333,0.10185965557898614,2.75,4.75,0
2.833333333333333,4.916666666666666,0.10066310192690565,2.75,5.0,0
2.833333333333333,5.0,0.09948240835477894,2.75,5.0,0
2.9166666666666665,0.0,0.20142877355955724,3.0,0.0,734
2.9166666666666665,0.08333333333333333,0.19924711672070858,3.0,0.0,734
2.9166666666666665,0.16666666666666666,0.1970813199618138,3.0,0.25,0
2.9166666666666665,0.25,0.1949313832828728,3.0,0.25,0
2.9166666666666665,0.3333333333333333,0.19279730668388562,3.0,0.25,0
2.9166666666666665,0.41666666666666663,0.1906790901648522,3.0,0.5,0
2.9166666666666665,0.5,0.1885767337257726,3.0,0.5,0
2.9166666666666665,0.5833333333333333,0.18649023736664685,3.0,0.5,0
2.9166666666666665,0.6666666666666666,0.1844196010874749,3.0,0.75,0
2.9166666666666665,0.75,0.18236482488825675,3.0,0.75,0
2.9166666666666665,0.8333333333333333,0.1803259087689924,3.0,0.75,0
2.9166666666666665,0.9166666666666666,0.17830285272968183,3.0,1.0,92
2.9166666666666665,1.0,0.17629565677032513,3.0,1.0,92
2.9166666666666665,1.0833333333333333,0.17430432089092224,3.0,1.0,92
2.9166666666666665,1.1666666666666665,0.17232884509147314,3.0,1.25,0
2.9166666666666665,1.25,0.17036922937197782,3.0,1.25,0
2.9166666666666665,1.3333333333333333,0.16842547373243635,3.0,1.25,0
2.9166666666666665,1.4166666666666665,0.16649757817284866,3.0,1.5,0
2.9166666666666665,1.5,0.1645855426932148,3.0,1.5,0
2.9166666666666665,1.5833333333333333,0.16268936729353475,3.0,1.5,0
2.9166666666666665,1.6666666666666665,0.16080905197380846,3.0,1.75,0
2.9166666666666665,1.75,0.15894459673403605,3.0,1.75,0
2.9166666666666665,1.8333333333333333,0.15709600157421738,3.0,1.75,0
2.9166666666666665,1.9166666666666665,0.15526326649435257,3.0,2.0,380
2.9166666666666665,2.0,0.1534463914944416,3.0,2.0,380
2.9166666666666665,2.083333333333333,0.15164537657448435,3.0,2.0,380
2.9166666666666665,2.1666666666666665,0.149860221734481,3.0,2.25,0
2.9166666666666665,2.25,0.14809092697443138,3.0,2.25,0
2.9166666666666665,2.333333333333333,0.14633749229433565,3.0,2.25,0
2.9166666666666665,2.4166666666666665,0.14459991769419364,3.0,2.5,50
2.9166666666666665,2.5,0.14287820317400546,3.0,2.5,50
2.9166666666666665,2.583333333333333,0.14117234873377116,3.0,2.5,50
2.9166666666666665,2.6666666666666665,0.13948235437349057,3.0,2.75,118
2.9166666666666665,2.75,0.1378082200931639,3.0,2.75,118
2.9166666666666665,2.833333333333333,0.13614994589279095,3.0,2.75,118
2.9166666666666665,2.9166666666666665,0.1345075317723718,3.0,3.0,620
2.9166666666666665,3.0,0.13288097773190655,3.0,3.0,620
2.9166666666666665,3.083333333333333,0.13127028377139502,3.0,3.0,620
2.9166666666666665,3.1666666666666665,0.12967544989083735,3.0,3.25,0
2.9166666666666665,3.25,0.12809647609023345,3.0,3.25,0
2.9166666666666665,3.333333333333333,0.12653336236958337,3.0,3.25,0
2.9166666666666665,3.4166666666666665,0.12498610872888713,3.0,3.5,0
2.9166666666666665,3.5,0.12345471516814463,3.0,3.5,0
2.9166666666666665,3.583333333333333,0.12193918168735604,3.0,3.5,0
2.9166666666666665,3.6666666666666665,0.12043950828652117,3.0,3.75,0
2.9166666666666665,3.75,0.11895569496564018,3.0,3.75,0
2.9166666666666665,3.833333333333333,0.11748774172471296,3.0,3.75,0
2.9166666666666665,3.9166666666666665,0.11603564856373952,3.0,4.0,208
2.9166666666666665,4.0,0.11459941548271996,3.0,4.0,208
2.9166666666666665,4.083333333333333,0.11317904248165414,3.0,4.0,208
2.9166666666666665,4.166666666666666,0.1117745295605422,3.0,4.25,0
2.9166666666666665,4.25,0.11038587671938402,3.0,4.25,0
2.9166666666666665,4.333333333333333,0.10901308395817967,3.0,4.25,0
2.9166666666666665,4.416666666666666,0.10765615127692912,3.0,4.5,0
2.9166666666666665,4.5,0.10631507867563235,3.0,4.5,0
2.9166666666666665,4.583333333333333,0.10498986615428944,3.0,4.5,0
2.9166666666666665,4.666666666666666,0.1036805137129003,3.0,4.75,0
2.9166666666666665,4.75,0.10238702135146503,3.0,4.75,0
2.9166666666666665,4.833333333333333,0.1011093890699835,3.0,4.75,0
